room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
299321,199452,Entire home/apt,Santo António,337,5.0,2,1.0,87.0
876537,4544870,Private room,Santo António,253,5.0,2,1.0,31.0
3082012,15682856,Entire home/apt,Santo António,246,5.0,4,1.0,64.0
2315046,11821479,Entire home/apt,Santo António,233,4.0,2,1.0,40.0
944662,3519021,Entire home/apt,Santo António,219,4.5,3,1.0,52.0
1483243,7935318,Entire home/apt,Santo António,212,4.5,6,2.0,69.0
1315334,3308104,Entire home/apt,Santo António,208,4.5,2,1.0,40.0
